no,manufacturer
1,현대
2,제네시스
3,기아
4,쉐보레
5,르노코리아
6,쌍용
7,BMW
8,GMC
9,닛산
10,다이하쯔
11,닷지
12,도요타
13,동풍소콘
14,람보르기니
15,랜드로버
16,렉서스
17,MG로버
18,로터스
19,롤스로이스
20,르노
21,링컨
22,마세라티
23,마이바흐
24,마쯔다
25,맥라렌
26,머큐리
27,미니
28,미쯔비시
29,미쯔오까
30,벤츠
31,벤틀리
32,볼보
33,부가티
34,북기은상
35,뷰익
36,사브
37,사이언
38,새턴
39,쉐보레
40,스마트
41,스바루
42,스즈키
43,시트로엥/DS
44,아우디
45,알파 로메오
46,애스턴마틴
47,어큐라
48,오펠
49,올즈모빌
50,이네오스
51,이스즈
52,인피니티
53,재규어
54,지프
55,캐딜락
56,코닉세그
57,크라이슬러
58,테슬라
59,파가니
60,페라리
61,포드
62,포르쉐
63,포톤
64,폭스바겐
65,폰티악
66,폴스타
67,푸조
68,피아트
69,험머
70,혼다
71,BYD
72,기타 수입차
